location,violent-crime-in-public-spaces,neighborhood-safety,violent-crime,bullying,school-fights,school-safety,food-access,income-diversity,food-stamps-snap,median-household-income,per-capita-income,child-poverty,household-poverty,individual-poverty,early-childhood-education,high-school-graduation,college-graduation-or-more,no-high-school-graduation,school-attendance,suspensions,limited-english-proficiency,single-parent-households,grandparents-raising-grandchildren,seniors-living-alone,foreign-born,unemployment
bridgeport,,,,,,,4.0,61.4,16.3,,,30.0,19.8,21.0,,78.9718637613709,,21.0281362386292,,,29.2288361865871,9.67613273771538,,,34.9450484693126,11.2
brighton-park,,,,,,,15.6,57.0,27.3,,,35.9,25.2,27.7,,55.6918165537647,,44.3081834462353,,,41.9579735316422,14.9625935162095,,,46.6924573548708,13.2
burnside,,,,,,,52.1,53.0,41.8,,,57.4,33.7,35.7,,78.75,,21.25,,,0.607287449392713,10.7102593010147,,,2.61437908496732,21.5
calumet-heights,,,,,,,11.8,62.2,22.7,,,13.1,11.5,12.4,,88.4767700183522,,11.5232299816478,,,1.31410014349369,9.77835723598435,,,3.5755898630935,16.9
chatham,,,,,,,24.8,57.6,34.4,,,38.9,27.1,27.7,,86.4489833302803,,13.5510166697197,,,0.783066611954589,15.5555555555556,,,1.46688351031602,20.3
chicago-lawn,,,,,,,13.1,57.3,36.4,,,42.7,30.4,31.3,,69.2139191388159,,30.7860808611841,,,22.2393517145963,20.6876790830946,,,24.1507803639898,21.9
clearing,,,,,,,13.0,59.5,11.3,,,18.1,10.1,10.8,,83.8911516439407,,16.1088483560593,,,15.5634443049483,9.22626025791325,,,20.6513901129717,10.2
douglas,,,,,,,23.2,57.8,28.7,,,55.2,34.0,39.5,,86.3717872086073,,13.6282127913927,,,8.52514481980827,12.2143165157395,,,17.7926487231216,15.5
dunning,,,,,,,8.1,62.0,7.5,,,15.2,11.4,11.3,,86.513476827613,,13.486523172387,,,21.9820940064661,7.68532918610679,,,32.1138872748402,7.2
east-garfield-park,,,,,,,6.9,49.9,51.7,,,58.7,44.2,47.9,,78.4165961049958,,21.5834038950042,,,0.750013204457825,24.6533795493934,,,1.35978707960319,20.3
east-side,,,,,,,24.1,60.4,21.5,,,36.2,18.0,21.7,,70.1902901381955,,29.8097098618045,,,25.4086790219025,15.2129221732746,,,28.4250745265986,17.0
edgewater,,,,,,,1.5,62.9,11.3,,,29.2,16.9,18.3,,91.3892212758969,,8.61077872410314,,,14.3248071148949,4.06625980819529,,,28.121298270552,8.2
edison-park,,,,,,,3.0,63.5,1.0,,,0.4,2.6,1.9,,94.8245303084013,,5.17546969159872,,,5.91502360455429,4.35265378636465,,,12.8214159915463,5.0
englewood,,,,,,,22.4,45.9,51.4,,,57.8,45.7,46.3,,74.2792937399679,,25.7207062600321,,,1.26041623047611,22.0366912007031,,,2.23957735155622,36.0
forest-glen,,,,,,,7.0,63.3,3.9,,,3.0,5.9,4.2,,94.5564833779738,,5.44351662202615,,,9.78273498315325,4.4921875,,,19.618159136519,6.1
fuller-park,,,,,,,72.0,35.9,49.7,,,44.2,38.7,33.4,,75.1018033740547,,24.8981966259453,,,2.68747290853923,9.81132075471698,,,3.13390313390313,31.7
gage-park,,,,,,,13.8,55.7,30.9,,,32.5,22.4,22.8,,55.5006233609905,,44.4993766390095,,,41.8748850529413,17.1114760829398,,,44.6361827095772,15.9
garfield-ridge,,,,,,,8.7,62.6,9.4,,,9.4,7.6,7.6,,81.1907595092528,,18.8092404907472,,,16.8994330050731,7.97474663565376,,,23.4592501122586,11.4
grand-boulevard,,,,,,,23.5,56.8,36.8,,,46.2,33.0,35.5,,84.2910321489002,,15.7089678510998,,,1.56264888041925,16.2953921269454,,,2.41758241758242,22.6
greater-grand-crossing,,,,,,,12.2,54.2,40.3,,,57.0,36.0,38.8,,85.1295108456152,,14.8704891543848,,,1.14220826932069,21.9081863032026,,,1.44994744326965,24.9
hegewisch,,,,,,,12.2,62.7,12.0,,,27.6,17.5,17.7,,87.4465049928673,,12.5534950071327,,,8.68947555345093,10.8222661768861,,,11.6398570151921,9.0
hermosa,,,,,,,0.0,58.1,27.8,,,32.4,23.1,22.2,,57.7948983555613,,42.2051016444387,,,38.9842877994333,14.5231722777856,,,33.806740162423,9.6
